t,cbhIdx5,cbhIdx1
2017-06-27,1091.799978,1022.226502
2017-06-28,1102.211726,1037.581264
2017-06-29,1085.601018,1030.814843
2017-06-30,1089.090638,1036.488261
2017-07-03,1087.294817,1048.466503
2017-07-04,1087.294817,1048.466503
2017-07-05,1092.82043,1037.049125
2017-07-06,1085.116251,1017.339892
2017-07-07,1093.982967,1017.852061
2017-07-10,1092.917602,1022.275814
2017-07-11,1091.867901,1026.890285
2017-07-12,1099.750269,1043.005618
2017-07-13,1096.708878,1055.887041
2017-07-14,1104.241176,1061.055211
2017-07-17,1104.188118,1063.498593
2017-07-18,1103.945669,1061.231789
2017-07-19,1109.896864,1083.046132
2017-07-20,1111.012626,1082.807783
2017-07-21,1110.504703,1076.873771
2017-07-24,1108.164767,1072.993364
2017-07-25,1109.409159,1086.858024
2017-07-26,1110.748684,1084.400005
2017-07-27,1113.975503,1086.168073
2017-07-28,1107.360217,1084.173967
2017-07-31,1104.549751,1084.122924
2017-08-01,1107.33433,1076.150551
2017-08-02,1105.847799,1062.001079
2017-08-03,1104.471581,1052.875322
2017-08-04,1104.126141,1055.842821
2017-08-07,1104.997394,1053.057634
2017-08-08,1101.262684,1044.664309
2017-08-09,1099.131657,1040.786476
2017-08-10,1087.98021,1017.16255
2017-08-11,1089.770511,1021.748283
2017-08-14,1098.457545,1030.841469
2017-08-15,1097.203164,1023.725392
2017-08-16,1100.782531,1029.800378
2017-08-17,1086.253343,1009.737871
2017-08-18,1086.422676,1010.995447
2017-08-21,1089.338413,1015.286831
2017-08-22,1098.280233,1029.405986
2017-08-23,1093.456323,1034.666055
2017-08-24,1091.878918,1040.139111
2017-08-25,1092.706386,1039.748688
2017-08-28,1093.690689,1036.367917
2017-08-29,1093.695461,1037.449088
2017-08-30,1097.867811,1037.034289
2017-08-31,1105.658856,1051.619273
2017-09-01,1106.649478,1063.994647
2017-09-04,1106.649478,1063.994647
2017-09-05,1099.950103,1052.449725
2017-09-06,1101.552695,1055.66366
2017-09-07,1106.840945,1062.189062
2017-09-08,1106.628697,1049.23037
2017-09-11,1118.471476,1062.832938
2017-09-12,1119.773633,1073.468135
2017-09-13,1121.472304,1080.078913
2017-09-14,1121.683556,1071.717563
2017-09-15,1123.084711,1075.422913
2017-09-18,1120.953111,1078.294203
2017-09-19,1121.10002,1072.103153
2017-09-20,1122.127005,1081.339053
2017-09-21,1116.522963,1081.423486
2017-09-22,1116.943639,1091.819304
2017-09-25,1113.253759,1092.104877
2017-09-26,1110.876068,1098.378708
2017-09-27,1112.131018,1115.012367
2017-09-28,1114.406455,1108.286083
2017-09-29,1117.921106,1113.132683
2017-10-02,1125.347993,1124.269524
2017-10-03,1127.857734,1127.600496
2017-10-04,1131.688151,1126.168846
2017-10-05,1136.355808,1130.8878
2017-10-06,1134.242063,1120.87352
2017-10-09,1131.289986,1116.328839
2017-10-10,1133.948175,1108.417301
2017-10-11,1135.145864,1108.50227
2017-10-12,1134.15087,1109.574567
2017-10-13,1138.824953,1111.577789
2017-10-16,1137.555459,1112.674061
2017-10-17,1134.542442,1110.437576
2017-10-18,1132.69037,1113.624867
2017-10-19,1132.651604,1110.92819
2017-10-20,1133.500925,1114.255829
2017-10-23,1130.526419,1099.482423
2017-10-24,1127.910786,1101.857212
2017-10-25,1120.763559,1091.399926
2017-10-26,1126.553002,1086.734662
2017-10-27,1129.037957,1067.719897
2017-10-30,1122.818067,1058.703211
2017-10-31,1126.327067,1073.219593
2017-11-01,1128.794346,1073.751224
2017-11-02,1127.649758,1068.374035
2017-11-03,1128.168965,1077.891246
2017-11-06,1128.927902,1085.48031
2017-11-07,1129.13456,1082.389115
2017-11-08,1130.850159,1085.285331
2017-11-09,1126.323476,1083.537573
2017-11-10,1129.733951,1085.745043
2017-11-13,1134.300951,1086.699108
2017-11-14,1134.358611,1083.796496
2017-11-15,1127.860774,1074.530379
2017-11-16,1139.284102,1084.449347
2017-11-17,1140.478109,1082.35551
2017-11-20,1141.740317,1082.25492
2017-11-21,1149.807974,1093.551645
2017-11-22,1146.441557,1096.614788
2017-11-23,1146.441557,1096.614788
2017-11-24,1148.164478,1100.195293
2017-11-27,1146.157758,1096.044219
2017-11-28,1153.462648,1100.295953
2017-11-29,1151.039922,1094.85824
2017-11-30,1159.117166,1091.773437
2017-12-01,1156.737544,1092.938319
2017-12-04,1154.631444,1081.981533
2017-12-05,1152.989911,1075.687197
2017-12-06,1155.650896,1069.555936
2017-12-07,1161.001509,1075.431944
2017-12-08,1166.468427,1075.414528
2017-12-11,1168.897381,1080.676808
2017-12-12,1168.175071,1080.02695
2017-12-13,1170.220029,1081.099913
2017-12-14,1168.158094,1077.020307
2017-12-15,1180.214107,1082.455405
2017-12-18,1189.147066,1089.698645
2017-12-19,1186.249184,1076.016651
2017-12-20,1186.560756,1075.441475
2017-12-21,1185.589932,1080.326474
2017-12-22,1185.460209,1084.073253
2017-12-25,1185.460209,1084.073253
2017-12-26,1184.636053,1086.659299
2017-12-27,1186.645652,1087.088371
