t,cbhIdx5,cbhIdx1
2016-12-05,1000,1000
2016-12-06,1005.16361248283,999.875649655006
2016-12-07,1005.07659411387,1009.45288793596
2016-12-08,1002.38210646971,1018.39199585178
2016-12-09,1016.88516304,1019.52723054808
2016-12-12,1013.83447672935,1022.83826014106
2016-12-13,1023.76400905689,1024.53195376209
2016-12-14,1023.64983647267,1024.35097104673
2016-12-15,1004.15137599525,999.596022845165
2016-12-16,1006.38041986582,997.340766090966
2016-12-19,1007.20488168015,993.643059944777
2016-12-20,1007.59509508849,993.971189197865
2016-12-21,1010.91959459307,995.934644964289
2016-12-22,1010.59716157499,991.402023581845
2016-12-23,1009.55538728069,990.274348107713
2016-12-26,1009.55538728069,990.274348107713
2016-12-27,1011.21468705939,990.72551606261
2016-12-28,1008.89260803243,994.782174509019
2016-12-29,1012.70819089523,996.195556343402
2016-12-30,1028.73464508373,1011.51828308547
2017-01-02,1029.1700653883,1011.69303209575
2017-01-03,1013.31278974473,1002.28102829432
2017-01-04,1021.46034738367,1003.8166441308
2017-01-05,1038.30042270185,1020.51522295664
2017-01-06,1034.57769192277,1013.74105216022
2017-01-09,1030.8737125992,1004.42164871125
2017-01-10,1033.46971724246,1012.44280045943
2017-01-11,1025.69857478878,1008.77835525486
2017-01-12,1035.1152717599,1024.13842334698
2017-01-13,1037.84325199199,1026.50527903699
2017-01-16,1031.41439342896,1018.06345648886
2017-01-17,1034.89805768621,1024.99036152766
2017-01-18,1038.42042435156,1026.99307251037
2017-01-19,1035.27416318929,1013.24753744856
2017-01-20,1039.70553761232,1019.30788014113
2017-01-23,1049.61080052077,1021.45208093528
2017-01-24,1052.67849723693,1030.27347144901
2017-01-25,1064.64607651153,1034.94383292918
2017-01-26,1064.18112066475,1028.32449929264
2017-01-27,1065.98282792172,1028.79015843028
2017-01-30,1057.25919746538,1010.9239696559
2017-01-31,1063.74826435092,1014.57778405042
2017-02-01,1065.35779158619,1017.43351002395
2017-02-02,1065.91488549969,1020.37511993819
2017-02-03,1070.42299881,1021.42141712175
2017-02-06,1062.12018756956,1012.49182462615
2017-02-07,1063.81111652924,1007.37655004098
2017-02-08,1075.13896264864,1010.11115352757
2017-02-09,1077.29375379772,1016.93871826237
2017-02-10,1075.50977357562,1024.27822852197
2017-02-13,1077.45789123975,1034.64041614847
2017-02-14,1072.85806479643,1028.0613586409
2017-02-15,1078.85765462354,1028.40648725173
2017-02-16,1090.81713111534,1033.38296619455
2017-02-17,1087.68727170368,1022.54651874131
2017-02-20,1091.2880412092,1027.82350117054
2017-02-21,1089.53052204854,1032.01742405986
2017-02-22,1088.87202485707,1027.38819342338
2017-02-23,1099.5414891007,1036.63281240228
2017-02-24,1093.83970882917,1023.57978481592
2017-02-27,1095.66700540389,1027.4931025151
2017-02-28,1097.60355144913,1027.0646290245
2017-03-01,1097.36524366256,1041.03654885722
2017-03-02,1096.13297306716,1037.82216040798
2017-03-03,1096.25332785553,1038.33874294014
2017-03-06,1095.80623824744,1032.02609699678
2017-03-07,1088.81820351737,1025.57813105193
2017-03-08,1088.77903980978,1016.88754830597
2017-03-09,1091.08851727973,1005.97398298543
2017-03-10,1097.01570350804,1018.08971938034
2017-03-13,1101.46834482992,1023.94423901508
2017-03-14,1097.57443667408,1013.16542610483
2017-03-15,1099.0519310847,1020.2747021596
2017-03-16,1115.57721682339,1046.36065849825
2017-03-17,1121.79092731152,1052.25703217557
2017-03-20,1123.25872354448,1048.61975759731
2017-03-21,1123.50171615295,1044.64133729488
2017-03-22,1117.72518148724,1039.65330683235
2017-03-23,1128.99463155065,1042.22092831274
2017-03-24,1128.57171022591,1038.6696423031
2017-03-27,1133.11967985925,1035.04158946202
2017-03-28,1135.02330659403,1042.28867196159
2017-03-29,1127.43665266519,1036.42327884857
2017-03-30,1132.56974561451,1046.59884763426
2017-03-31,1130.32553612922,1040.51695883379
2017-04-03,1123.91658788442,1031.82651003275
2017-04-04,1127.25232807694,1039.55889037803
2017-04-05,1127.36802920346,1043.99526389677
2017-04-06,1130.38424583783,1045.70827584999
2017-04-07,1127.23516883881,1047.08575856552
2017-04-10,1129.52693566976,1046.86852843123
2017-04-11,1134.51142049467,1049.18082279136
2017-04-12,1140.19808473659,1044.98791493223
